"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"15","경기도","이천시","시도",3,127.389864,"2",70,NA
"57","경기도","이천시","시도",3,127.4332935,"2",60,NA
"60","경기도","이천시","지방도",3,127.377088,"1",60,NA
"122","경기도","이천시","시도",3,127.397037402,"2",70,NA
"146","경기도","이천시","일반국도",3,127.506110331,"2",70,NA
"147","경기도","이천시","일반국도",3,127.472569,"2",60,NA
"148","경기도","이천시","시도",3,127.4255459,"2",70,NA
"4834","경기도","이천시","일반국도",3,127.501390302,"2",60,NA
"4835","경기도","이천시","일반국도",3,127.490216525,"2",70,NA
"4836","경기도","이천시","시도",3,127.437691149,"2",60,NA
"5232","경기도","이천시","지방도",3,127.479987,"1",60,NA
"5607","경기도","이천시","시도",3,127.403103,"1",70,NA
"5608","경기도","이천시","시도",3,127.390122,"2",60,NA
"5609","경기도","이천시","일반국도",3,127.630562,"2",70,NA
"5610","경기도","이천시","시도",3,127.417039,"2",60,NA
"6226","경기도","이천시","지방도",3,127.468833,"2",70,NA
"6227","경기도","이천시","시도",3,127.409941632,"2",60,NA
"6228","경기도","이천시","시도",3,127.425555,"2",70,NA
"6249","경기도","이천시","일반국도",3,127.418419,"2",60,NA
"6253","경기도","이천시","시도",3,127.433716,"2",70,NA
"7655","경기도","이천시","고속국도",3,127.343314817,"1",100,NA
"7689","경기도","이천시","일반국도",3,127.422591,"1",60,NA
"7729","경기도","이천시","일반국도",3,127.424846,"2",90,NA
"7730","경기도","이천시","일반국도",3,127.520776,"2",90,NA
"7731","경기도","이천시","일반국도",3,127.520798,"2",90,NA
"7732","경기도","이천시","일반국도",3,127.520813423,"2",90,NA
"8515","경기도","이천시","일반국도",3,127.575926,"2",70,NA
"8516","경기도","이천시","일반국도",3,127.457988,"2",70,NA
"8522","경기도","이천시","시도",3,127.399616,"2",70,NA
"9166","경기도","이천시","일반국도",3,127.424106218,"1",50,NA
"9167","경기도","이천시","일반국도",3,127.509585774,"1",90,NA
"9184","경기도","이천시","일반국도",3,127.424713495,"2",90,NA
"9185","경기도","이천시","일반국도",3,127.424824,"2",90,NA
"9316","경기도","이천시","일반국도",3,127.458128,"2",70,NA
"9317","경기도","이천시","일반국도",3,127.488883858,"2",60,NA
"9318","경기도","이천시","지방도",3,127.457373,"2",50,NA
"9319","경기도","이천시","시도",3,127.438962,"2",50,NA
"9320","경기도","이천시","일반국도",3,127.401276,"2",60,NA
"9321","경기도","이천시","일반국도",3,127.349739,"2",70,NA
"9322","경기도","이천시","일반국도",3,127.616296454,"2",70,NA
"9323","경기도","이천시","일반국도",3,127.616149,"2",70,NA
"9324","경기도","이천시","시도",3,127.490745,"2",30,NA
"9325","경기도","이천시","지방도",3,127.377202,"2",60,NA
"9335","경기도","이천시","시도",3,127.477227,"1",30,NA
"9336","경기도","이천시","시도",3,127.399626,"1",50,NA
"9337","경기도","이천시","일반국도",3,127.503175,"1",60,NA
"9338","경기도","이천시","지방도",3,127.517719,"2",60,NA
"9339","경기도","이천시","시도",3,127.401879346,"2",70,NA
"9340","경기도","이천시","시도",3,127.479389,"2",30,NA
"9341","경기도","이천시","시도",3,127.456123,"2",50,NA
"9342","경기도","이천시","지방도",3,127.470254,"2",60,NA
"9343","경기도","이천시","시도",3,127.355650135,"2",40,NA
"9344","경기도","이천시","시도",3,127.447668,"2",50,NA
"9345","경기도","이천시","시도",3,127.451791,"2",30,NA
"9346","경기도","이천시","지방도",3,127.515046,"2",60,NA
"9347","경기도","이천시","지방도",3,127.448367728,"2",60,NA
"9348","경기도","이천시","시도",3,127.441734,"2",30,NA
"9349","경기도","이천시","시도",3,127.399626,"1",50,NA
"9382","경기도","이천시","지방도",3,127.499588445,"1",60,NA
"9642","경기도","이천시","일반국도",3,127.523146566,"1",60,NA
"12452","경기도","이천시","시도",3,127.398254,"2",70,NA
"13221","경기도","이천시","일반국도",3,127.534714712,"2",60,NA
"14024","경기도","이천시","지방도",3,127.495138,"2",60,NA
"14671","경기도","이천시","일반국도",3,127.433461,"2",60,NA
"14745","경기도","이천시","시도",3,127.415054,"1",50,NA
"14746","경기도","이천시","시도",3,127.354319,"2",50,NA
"14747","경기도","이천시","시도",3,127.369252,"2",50,NA
"14748","경기도","이천시","일반국도",3,127.574401908,"2",70,NA
"14749","경기도","이천시","일반국도",3,127.423195962,"2",70,NA
"14750","경기도","이천시","일반국도",3,127.479096066,"2",60,NA
"14751","경기도","이천시","일반국도",3,127.491399,"2",60,NA
"14752","경기도","이천시","지방도",3,127.352713,"2",60,NA
"14809","경기도","이천시","시도",3,127.415054,"1",50,NA
"14938","경기도","이천시","일반국도",3,127.524754375,"1",90,NA
"14973","경기도","이천시","시도",3,127.4356085,"2",70,NA
"14974","경기도","이천시","지방도",3,127.384401,"1",60,NA
"15158","경기도","이천시","시도",3,127.396233,"1",70,NA
"15841","경기도","이천시","시도",3,127.399879,"2",30,NA
"16027","경기도","이천시","지방도",1,127.4687901,"01+02",70,NA
"16089","경기도","이천시","지방도",3,127.491569,"2",60,NA
"16497","경기도","이천시","지방도",3,127.479167,"2",60,NA
"16498","경기도","이천시","지방도",3,127.448035,"2",70,NA
"16499","경기도","이천시","시도",3,127.391129,"2",60,NA
"16500","경기도","이천시","시도",3,127.437374,"2",60,NA
"16501","경기도","이천시","시도",3,127.454379,"2",40,NA
"16502","경기도","이천시","시도",3,127.445554,"2",60,NA
"16503","경기도","이천시","시도",3,127.440512,"2",70,NA
"16594","경기도","이천시","고속국도",3,127.348631,"1",80,NA
"16595","경기도","이천시","고속국도",3,127.348590321,"1",100,NA
"16596","경기도","이천시","고속국도",3,127.348632,"1",100,NA
"16597","경기도","이천시","고속국도",3,127.348632,"1",100,NA
"16605","경기도","이천시","시도",3,127.393998,"2",60,NA
"16606","경기도","이천시","지방도",3,127.352820454,"2",50,NA
"16607","경기도","이천시","일반국도",3,127.349589,"2",60,NA
"16653","경기도","이천시","일반국도",3,127.607988685,"2",70,NA
"16654","경기도","이천시","지방도",3,127.449421496,"2",60,NA
"16655","경기도","이천시","일반국도",3,127.521956717,"2",60,NA
"16973","경기도","이천시","지방도",3,127.448160933,"2",70,NA
"17193","경기도","이천시","시도",3,127.454311,"2",50,NA
"17227","경기도","이천시","일반국도",2,127.3493308,"01+02",70,NA
"17228","경기도","이천시","지방도",2,127.468948,"01+02",60,NA
"17229","경기도","이천시","지방도",2,127.3642511,"01+02",60,NA
"17230","경기도","이천시","기타",1,127.4542648,"01+02",60,NA
"17231","경기도","이천시","지방도",1,127.4271354,"01+02",70,NA
"17232","경기도","이천시","지방도",1,127.473226,"01+02",60,NA
"17233","경기도","이천시","지방도",1,127.6080546,"01+02",70,NA
"17234","경기도","이천시","일반국도",1,127.4538379,"01+02",70,NA
"17235","경기도","이천시","지방도",1,127.4495007,"01+02",60,NA
"17236","경기도","이천시","지방도",1,127.5152843,"01+02",60,NA
"17237","경기도","이천시","지방도",2,127.4134385,"01+02",70,NA
"17238","경기도","이천시","일반국도",2,127.5214827,"01+02",70,NA
"17239","경기도","이천시","일반국도",1,127.5758497,"01+02",70,NA
"17240","경기도","이천시","일반국도",2,127.4579339,"01+02",70,NA
"17241","경기도","이천시","일반국도",1,127.5918923,"01+02",70,NA
"17242","경기도","이천시","시도",1,127.3996663,"01+02",70,NA
"17243","경기도","이천시","일반국도",1,127.4730422,"01+02",70,NA
"17244","경기도","이천시","지방도",1,127.4385505,"01+02",60,NA
"17245","경기도","이천시","지방도",2,127.4499311,"01+02",70,NA
"17246","경기도","이천시","지방도",2,127.5392093,"01+02",60,NA
"17247","경기도","이천시","지방도",1,127.4951844,"01+02",60,NA
"17248","경기도","이천시","일반국도",1,127.5828092,"01+02",70,NA
"17249","경기도","이천시","일반국도",1,127.4184952,"01+02",70,NA
"17250","경기도","이천시","시도",2,127.4336896,"01+02",70,NA
"17251","경기도","이천시","지방도",1,127.4636036,"01+02",70,NA
"17449","경기도","이천시","일반국도",1,127.4369635,"01+02",70,NA
"17450","경기도","이천시","일반국도",2,127.4317514,"01+02",70,NA
"17451","경기도","이천시","일반국도",1,127.4334504,"01+02",70,NA
"17452","경기도","이천시","일반국도",1,127.4581271,"01+02",70,NA
"17453","경기도","이천시","일반국도",2,127.4796693,"01+02",70,NA
"17454","경기도","이천시","지방도",2,127.457405,"01+02",60,NA
"17455","경기도","이천시","일반국도",2,127.4119755,"01+02",70,NA
"17456","경기도","이천시","시도",1,127.3991521,"01+02",70,NA
"17457","경기도","이천시","시도",1,127.4390479,"01+02",60,NA
"17458","경기도","이천시","기타",2,127.456602,"01+02",60,NA
"17459","경기도","이천시","일반국도",1,127.5125829,"01+02",70,NA
"17460","경기도","이천시","일반국도",1,127.4063787,"01+02",70,NA
"17461","경기도","이천시","일반국도",2,127.6006854,"01+02",70,NA
"17462","경기도","이천시","일반국도",2,127.6218607,"01+02",70,NA
"17463","경기도","이천시","일반국도",1,127.4850122,"01+02",70,NA
"17464","경기도","이천시","일반국도",2,127.4322972,"01+02",70,NA
"17465","경기도","이천시","일반국도",2,127.4618231,"01+02",70,NA
"17466","경기도","이천시","지방도",2,127.3644692,"01+02",60,NA
"17467","경기도","이천시","시도",2,127.4464137,"01+02",60,NA
"17468","경기도","이천시","시도",1,127.4441435,"01+02",60,NA
"17469","경기도","이천시","일반국도",1,127.5141099,"01+02",70,NA
"17470","경기도","이천시","시도",2,127.442924,"01+02",60,NA
"17471","경기도","이천시","지방도",2,127.5409119,"01+02",60,NA
"17472","경기도","이천시","시도",2,127.4630216,"01+02",60,NA
"17473","경기도","이천시","지방도",2,127.4925313,"01+02",60,NA
"17502","경기도","이천시","일반국도",2,127.4826021,"01+02",70,NA
"17503","경기도","이천시","일반국도",1,127.3496909,"01+02",70,NA
"17504","경기도","이천시","일반국도",2,127.4011559,"01+02",70,NA
"17505","경기도","이천시","일반국도",1,127.6323317,"01+02",70,NA
"17848","경기도","이천시","일반국도",3,127.474315,"2",70,NA
"17970","경기도","이천시","지방도",3,127.513708,"1",60,NA
"18005","경기도","이천시","지방도",3,127.493206,"2",60,NA
"18006","경기도","이천시","일반국도",3,127.528383,"2",70,NA
"18046","경기도","이천시","고속국도",3,127.440348,"1",110,NA
"18047","경기도","이천시","고속국도",3,127.449797,"1",100,NA
"18048","경기도","이천시","고속국도",3,127.5097633,"1",100,NA
"19035","경기도","이천시","지방도",3,127.4561337,"4",30,NA
"19036","경기도","이천시","기타",2,127.4503523,"4",30,NA
"19037","경기도","이천시","기타",2,127.480069,"4",30,NA
"19038","경기도","이천시","지방도",2,127.483183,"4",30,NA
"19039","경기도","이천시","일반국도",2,127.6280599,"4",30,NA
"19040","경기도","이천시","기타",3,127.5171728,"4",30,NA
"19041","경기도","이천시","기타",3,127.4873425,"4",30,NA
"19042","경기도","이천시","기타",2,127.4918486,"4",30,NA
"19043","경기도","이천시","기타",2,127.479683,"4",30,NA
"19044","경기도","이천시","기타",2,127.4905956,"4",30,NA
"19045","경기도","이천시","기타",2,127.4832593,"4",30,NA
"19046","경기도","이천시","기타",3,127.4519624,"4",30,NA
"19047","경기도","이천시","기타",3,127.4418568,"4",30,NA
"19048","경기도","이천시","기타",2,127.3939998,"4",50,NA
"19049","경기도","이천시","기타",3,127.4051564,"4",30,NA
"19050","경기도","이천시","기타",2,127.5424632,"4",30,NA
"19051","경기도","이천시","기타",2,127.386272,"4",40,NA
"19075","경기도","이천시","기타",3,127.4208138,"4",0,NA
"19076","경기도","이천시","기타",3,127.3518876,"4",0,NA
"19077","경기도","이천시","기타",3,127.3529234,"4",0,NA
"19078","경기도","이천시","기타",3,127.389954,"4",0,NA
"19079","경기도","이천시","기타",3,127.3887161,"4",0,NA
"19080","경기도","이천시","일반국도",2,127.5888942,"4",50,NA
"19081","경기도","이천시","기타",2,127.443645,"4",30,NA
"19082","경기도","이천시","기타",2,127.4333763,"4",30,NA
"19083","경기도","이천시","기타",2,127.4920408,"4",30,NA
"19084","경기도","이천시","기타",3,127.4792165,"4",30,NA
"19085","경기도","이천시","기타",2,127.5295999,"4",30,NA
"19086","경기도","이천시","기타",3,127.4608498,"4",30,NA
"19087","경기도","이천시","일반국도",2,127.6285072,"4",30,NA
"19088","경기도","이천시","기타",2,127.4892333,"4",30,NA
"19136","경기도","이천시","일반국도",3,127.4916916,"4",0,NA
"19137","경기도","이천시","기타",3,127.4493826,"4",0,NA
"19138","경기도","이천시","기타",3,127.4907199,"4",0,NA
"19139","경기도","이천시","기타",3,127.4372668,"4",0,NA
"19140","경기도","이천시","기타",3,127.4423763,"4",0,NA
"19141","경기도","이천시","기타",3,127.4913311,"4",0,NA
"19142","경기도","이천시","기타",3,127.4052436,"4",0,NA
"19143","경기도","이천시","기타",3,127.4444314,"4",0,NA
"19144","경기도","이천시","기타",3,127.4540945,"4",0,NA
"19145","경기도","이천시","기타",3,127.475375,"4",0,NA
"19146","경기도","이천시","기타",3,127.4501198,"4",0,NA
"19147","경기도","이천시","기타",3,127.4589335,"4",0,NA
"19148","경기도","이천시","기타",3,127.4521712,"4",0,NA
"19149","경기도","이천시","기타",3,127.4462955,"4",0,NA
"19150","경기도","이천시","기타",3,127.4909915,"4",0,NA
"19151","경기도","이천시","기타",3,127.4486895,"4",0,NA
"19152","경기도","이천시","기타",3,127.4354676,"4",0,NA
